directory_name,category_match,status_match,similarity_score,total_input_tokens,total_output_tokens,total_elapsed_time,error_status,error_message,token_error_occurred
data/iclr/data/submission_TkbjqexD8w,0.0,0.0,0.0,4392,424,22.02298235893249,,,True
data/iclr/data/submission_LqB8cRuBua,0.0,0.0,0.0,4908,205,18.924861192703247,,,False
data/iclr/data/submission_lX8DahcJbL,1.0,1.0,0.7686805504969706,724142,190,58.64384937286377,,,False
data/iclr/data/submission_UpPXWd9SBk,0.0,1.0,0.0,4134,175,17.643258094787598,,,False
data/iclr/data/submission_GCSr6QCCwF,1.0,1.0,0.8906448133853486,4392,182,19.872747659683228,,,False
data/iclr/data/submission_3x4vpeAclU,0.0,0.0,0.0,2328,206,7.681001663208008,,,False
data/iclr/data/submission_JKMoLnT1wZ,0.0,0.0,0.0,4134,481,17.5413339138031,,,False
data/iclr/data/submission_v4Bl6tfaaO,1.0,1.0,0.5442621157212,6198,164,11.735376834869385,,,False
data/iclr/data/submission_DXz1PDA0Wg,0.0,1.0,0.0,2328,245,7.318706274032593,,,False
data/iclr/data/submission_GjSWkSaNTQ,0.0,0.0,0.0,8778,170,39.59001350402832,,,False
data/iclr/data/submission_MOt7TUucrK,0.0,0.0,0.0,11358,173,21.479732036590576,,,False
data/iclr/data/submission_MOCEoNsjEx,0.0,0.0,0.0,4392,164,13.960926294326782,,,False
data/iclr/data/submission_F27YbvbgKy,0.0,0.0,0.0,7488,211,20.683353662490845,,,False
data/iclr/data/submission_K1G8UKcEBO,0.0,0.0,0.0,11874,162,27.62908673286438,,,False
data/iclr/data/submission_zebxJxSHcD,0.0,0.0,0.0,9036,201,15.578897714614868,,,False
data/iclr/data/submission_weeGJ2NqfN,0.0,0.0,0.0,242980,311,122.8826344013214,,,False
data/iclr/data/submission_seilwMD9m2,0.0,0.0,0.0,6456,258,18.02905488014221,,,False
data/iclr/data/submission_n6PE0xbgdA,1.0,1.0,0.6898784091196493,8262,318,15.756873607635498,,,False
data/iclr/data/submission_cIKQp84vqN,0.0,0.0,0.0,5462,220,17.721887826919556,,,False
data/iclr/data/submission_8g7hHwSBjH,0.0,0.0,0.0,7451,160,14.411790370941162,,,False
data/iclr/data/submission_72nCh5JtLQ,0.0,0.0,0.0,107004,704,73.58160519599915,,,True
data/iclr/data/submission_QPsbC714Cy,0.0,0.0,0.0,5424,188,16.736157655715942,,,False
data/iclr/data/submission_O9W9DesXid,1.0,1.0,0.7204760207148606,6972,131,14.63205075263977,,,True
data/iclr/data/submission_eIK4ojL2QM,1.0,1.0,0.6448274361708223,4908,344,102.9605836868286,,,False
data/iclr/data/submission_xIW2WtCuYE,1.0,1.0,0.7805737688582507,1554,188,24.33411192893982,,,True
data/iclr/data/submission_vrJtg5L3Qd,0.0,0.0,0.0,30352,299,36.6855697631836,,,True
data/iclr/data/submission_Rd34VDwqB7,1.0,1.0,0.7074860010303158,4134,149,16.869948387145996,,,False
data/iclr/data/submission_9pDbWbJzC4,0.0,0.0,0.0,5166,197,19.972145557403564,,,False
data/iclr/data/submission_bqLx5Rs8Tc,0.0,1.0,0.0,8520,325,22.833804845809937,,,False
data/iclr/data/submission_ChbCYd1uk5,0.0,0.0,0.0,103410,193,62.87928295135498,,,False
data/iclr/data/submission_ARhJbaAjyE,0.0,0.0,0.0,569164,322,107.00126338005066,,,False
data/iclr/data/submission_3E9oXcX8SH,0.0,0.0,0.0,6198,205,18.2274911403656,,,False
data/iclr/data/submission_NAlpAxxLAT,0.0,0.0,0.0,47847,248,23.04297423362732,,,False
data/iclr/data/submission_n6Gg0D2jWT,0.0,1.0,0.0,6456,410,26.09148359298706,,,False
data/iclr/data/submission_gD5mxbneen,0.0,0.0,0.0,5424,189,19.634655714035038,,,False
data/iclr/data/submission_PAzVN4EEkj,1.0,1.0,0.7922669980546885,238415,196,70.20118165016174,,,False
data/iclr/data/submission_GE0UKtI6Lf,0.0,1.0,0.0,163011,371,70.55713772773743,,,True
data/iclr/data/submission_3QoXfx1Tgw,0.0,0.0,0.0,10584,426,35.38247275352478,,,False
data/iclr/data/submission_GLKig15TWJ,0.0,1.0,0.0,7746,131,17.436296939849854,,,False
data/iclr/data/submission_iJxsH77FPQ,0.0,0.0,0.0,806649,373,54.83800721168518,,,False
data/iclr/data/submission_sSWiZr8QU7,1.0,1.0,0.7369067786619834,7267,262,13.660834789276125,,,False
data/iclr/data/submission_Mphd6Sf6z4,0.0,0.0,0.0,3618,150,13.114408016204834,,,False
data/iclr/data/submission_nQoRKLeOP0,1.0,1.0,0.7591747359680416,77972,265,29.506062507629395,,,False
