directory_name,category_match,status_match,similarity_score,total_input_tokens,total_output_tokens,total_elapsed_time,error_status,error_message,token_error_occurred
data/iclr/data/submission_UpPXWd9SBk,0.0,1.0,0.0,3518,164,17.72476077079773,,,False
data/iclr/data/submission_Rd34VDwqB7,1.0,1.0,0.7247078745148919,3518,140,14.721784353256226,,,False
data/iclr/data/submission_y9xNQZjUJM,0.0,1.0,0.0,3776,135,6.72151780128479,,,False
data/iclr/data/submission_LqB8cRuBua,0.0,0.0,0.0,4292,325,30.533833026885983,,,False
data/iclr/data/submission_nQoRKLeOP0,1.0,1.0,0.795090897206438,77356,179,14.636691093444824,,,False
data/iclr/data/submission_bqLx5Rs8Tc,1.0,1.0,0.5723467368699278,7904,142,24.16988587379456,,,False
data/iclr/data/submission_vrJtg5L3Qd,0.0,0.0,0.0,29736,131,29.377358198165894,,,False
data/iclr/data/submission_lX8DahcJbL,0.0,1.0,0.0,723526,195,45.80999612808228,,,False
data/iclr/data/submission_9pDbWbJzC4,1.0,1.0,1.0,4550,154,9.896737575531006,,,False
data/iclr/data/submission_1KRM3igwn1,0.0,0.0,0.0,8420,156,11.57942271232605,,,False
data/iclr/data/submission_z5Th95xtBW,0.0,0.0,0.0,5582,149,18.84287667274475,,,False
data/iclr/data/submission_7bwE5MJAVJ,0.0,1.0,0.0,7130,152,10.471670866012571,,,True
data/iclr/data/submission_Mphd6Sf6z4,0.0,1.0,0.0,3002,309,16.461316108703613,,,False
data/iclr/data/submission_Vn23PakSbM,0.0,0.0,0.0,2228,228,14.036341667175291,,,True
data/iclr/data/submission_QPsbC714Cy,0.0,0.0,0.0,4808,148,13.54966402053833,,,False
data/iclr/data/submission_Uc2P6WIgoo,0.0,0.0,0.0,6356,195,22.886446952819824,,,True
data/iclr/data/submission_JGt14kjxB2,1.0,1.0,1.0,6356,144,198.65628695487976,,,True
data/iclr/data/submission_EGjTCIcSnW,0.0,1.0,0.0,6872,126,23.951709985733032,,,False
data/iclr/data/submission_mhyl7HhNM5,0.0,0.0,0.0,7130,146,13.623475313186646,,,False
data/iclr/data/submission_n6PE0xbgdA,1.0,1.0,0.8028546908417136,7646,121,8.819678544998169,,,False
data/iclr/data/submission_K1G8UKcEBO,0.0,0.0,0.0,11258,223,14.946808099746704,,,False
data/iclr/data/submission_GjSWkSaNTQ,0.0,0.0,0.0,8162,135,26.232359170913696,,,False
data/iclr/data/submission_iJxsH77FPQ,0.0,0.0,0.0,806033,139,73.49242949485779,,,False
data/iclr/data/submission_8g7hHwSBjH,1.0,1.0,0.9170559726957066,6835,155,12.157999038696287,,,False
data/iclr/data/submission_5KRxLvYLlM,0.0,0.0,0.0,15128,151,36.91411471366882,,,False
data/iclr/data/submission_72nCh5JtLQ,0.0,0.0,0.0,106388,421,66.43297004699707,,,False
data/iclr/data/submission_GE0UKtI6Lf,0.0,1.0,0.0,162395,394,60.333224058151245,,,False
data/iclr/data/submission_9d6RcViazd,1.0,1.0,0.7955983905466149,4034,162,10.393776893615724,,,True
data/iclr/data/submission_gD5mxbneen,0.0,0.0,0.0,4808,161,22.35538387298584,,,False
data/iclr/data/submission_NAlpAxxLAT,1.0,1.0,1.0,47231,144,17.301490306854248,,,False
data/iclr/data/submission_YE5m1lkx4q,1.0,1.0,1.0,71296,154,17.59486722946167,,,False
data/iclr/data/submission_xIW2WtCuYE,0.0,1.0,0.0,938,156,6.700201034545898,,,False
data/iclr/data/submission_ijuesqStgU,0.0,0.0,0.0,6356,162,31.00225853919983,,,False
data/iclr/data/submission_GLKig15TWJ,0.0,1.0,0.0,7130,154,21.607049703598022,,,False
